"day_of_week","collision_type","crash_month","weather","vehicle_count","time_of_day","maj_inj_count","max_severity_level","dec_lat","dec_long"
5,3,1,1,2,2021,0,8,40.49399948,-79.81520081
6,1,1,1,2,1620,0,4,40.6216011,-79.74549866
2,7,1,1,1,2315,0,4,40.42150116,-79.76210022
6,5,1,1,2,925,0,4,40.43730164,-80.00279999
5,5,1,1,2,1423,0,8,40.43889999,-79.76260376
6,4,1,1,2,1157,0,3,40.59939957,-79.80789948
6,1,1,1,4,1537,0,8,40.35179901,-79.97750092
5,7,1,1,1,2013,0,4,40.4292984,-79.94339752
5,7,1,4,1,1543,0,3,40.55580139,-79.78109741
6,1,1,4,4,2025,0,8,40.47399902,-80.03859711
7,7,1,4,1,125,0,4,40.47230148,-79.81960297
4,4,1,1,2,600,0,3,40.43690109,-79.77429962
7,7,1,4,1,141,0,4,40.44829941,-79.98449707
7,1,1,4,2,246,1,2,40.45479965,-79.99440002
5,4,1,1,2,1130,0,4,40.35499954,-80.11589813
6,6,1,4,2,1847,0,4,40.46110153,-79.86630249
6,8,1,1,1,1550,0,4,40.4231987,-79.92489624
7,4,1,1,3,1710,0,4,40.39619827,-79.99810028
7,1,1,1,3,1838,0,4,40.43610001,-79.7845993
1,7,1,4,1,114,0,8,40.49430084,-79.94239807
1,7,1,4,1,715,0,4,40.45050049,-80.02719879
4,2,1,4,2,1009,0,8,40.46279907,-79.94680023
1,4,1,1,2,1127,0,8,40.45780182,-79.81919861
1,7,1,8,1,1130,0,8,40.39220047,-80.01319885
1,2,1,1,2,1349,0,4,40.39619827,-79.99810028
7,1,1,1,2,1435,0,4,40.38809967,-80.04309845
7,7,1,4,1,2341,0,8,40.6507988,-80.11229706
6,2,1,4,2,449,0,8,40.44990158,-79.70729828
1,7,1,4,1,24,0,4,40.46749878,-80.01679993
2,2,1,1,2,212,0,3,40.51940155,-80.02700043
2,1,1,1,2,1741,0,4,40.41999817,-80.05069733
2,1,1,2,2,1827,0,8,40.48080063,-80.00749969
1,1,1,1,3,1204,0,8,40.56230164,-79.95909882
2,4,1,1,2,735,0,8,40.60319901,-79.92890167
7,1,1,1,2,2136,0,4,40.35779953,-79.85500336
2,7,1,4,1,1639,0,4,40.60549927,-79.94709778
5,2,1,1,3,1544,0,4,40.55619812,-80.01989746
6,1,1,4,2,1833,0,8,40.53789902,-80.19999695
7,7,1,1,1,247,0,4,40.33840179,-80.04550171
4,1,1,1,2,1824,0,4,40.41759872,-80.08740234
1,7,1,1,1,2102,0,4,40.59249878,-79.79389954
6,7,1,4,1,1930,0,4,40.38800049,-79.83820343
2,7,1,1,1,2255,0,4,40.27659988,-79.89029694
3,7,1,1,1,106,0,8,40.3905983,-79.86920166
3,7,1,1,1,240,0,8,40.35189819,-79.83399963
3,2,1,4,2,740,0,8,40.39659882,-79.97879791
2,4,1,1,2,1338,0,8,40.33229828,-79.94589996
6,7,1,4,1,2057,0,8,40.65890121,-79.99680328
3,7,1,4,1,1020,0,8,40.38209915,-79.98349762
3,7,1,4,1,907,0,8,40.54359818,-79.72949982
3,7,1,4,1,1055,0,4,40.43799973,-79.9108963
3,7,1,4,1,725,0,8,40.41719818,-80.02799988
3,7,1,4,1,1034,0,4,40.47330093,-79.86799622
3,6,1,4,2,758,0,8,40.25910187,-79.85040283
3,7,1,4,1,902,1,2,40.45999908,-79.86630249
3,0,1,4,1,815,0,8,40.41650009,-80.02310181
3,1,1,4,3,1500,0,8,40.48249817,-79.90799713
3,4,1,1,3,1551,0,4,40.43999863,-80.22360229
3,4,1,4,2,1610,0,4,40.45410156,-79.99680328
2,6,1,1,2,1110,0,8,40.57559967,-80.05460358
4,1,1,1,3,1840,0,4,40.42490005,-80.1147995
5,7,1,1,1,934,0,4,40.36000061,-80.11869812
6,1,1,1,2,1521,0,8,40.43230057,-80.02359772
6,1,1,4,2,2144,0,8,40.4117012,-80.07630157
3,7,1,1,1,1943,0,8,40.24779892,-79.87599945
3,4,1,4,3,2132,0,8,40.45769882,-79.91030121
2,6,1,1,2,1739,0,8,40.63209915,-79.71510315
5,1,1,1,3,953,0,8,40.4280014,-79.9265976
5,1,1,1,2,1238,0,8,40.44139862,-79.76159668
6,1,1,1,2,1732,0,8,40.43470001,-79.98709869
6,7,1,4,1,2003,0,8,40.44219971,-79.82180023
1,5,1,4,2,1,0,4,40.43439865,-79.96489716
1,7,1,4,1,256,0,4,40.42070007,-80.04019928
4,7,1,1,1,818,0,8,40.35490036,-79.8348999
3,1,1,4,2,1000,0,4,40.35520172,-79.97949982
3,4,1,4,2,1315,0,3,40.32780075,-79.79579926
1,4,1,1,2,1133,0,4,40.47750092,-80.04720306
3,4,1,1,2,1408,0,3,40.31980133,-79.94159698
4,1,1,1,2,1548,0,8,40.46260071,-79.95079803
4,2,1,1,2,1726,0,4,40.48809814,-79.80149841
3,1,1,4,2,854,0,8,40.57170105,-80.01629639
7,7,1,4,1,2239,0,4,40.42779922,-80.12680054
2,1,1,1,2,1427,0,3,40.4538002,-80.17189789
3,1,1,1,3,1457,0,8,40.34500122,-80.02709961
6,1,1,1,2,1231,0,8,40.32770157,-80.04100037
4,2,1,1,2,1810,0,4,40.45370102,-79.99330139
2,4,1,1,2,1458,0,8,40.33929825,-79.91359711
4,1,1,1,2,1748,0,4,40.35440063,-79.8423996
4,1,1,1,3,1950,0,8,40.43830109,-79.89710236
3,7,1,4,1,1623,0,8,40.31140137,-79.87660217
4,7,1,4,1,2240,0,4,40.39559937,-79.97879791
4,4,1,1,3,653,0,8,40.40200043,-80.00060272
4,7,1,4,1,2351,0,3,40.52270126,-80.08129883
4,7,1,1,1,2307,1,2,40.42050171,-80.00640106
6,7,1,4,1,259,0,8,40.44409943,-80.02809906
4,4,1,1,2,1412,0,8,40.43889999,-79.76049805
5,2,1,4,2,720,0,8,40.50730133,-79.85160065
4,4,1,4,2,1246,0,4,40.46569824,-79.73049927
5,5,1,4,2,715,0,8,40.37960052,-79.92549896
5,2,1,4,2,831,0,8,40.41189957,-80.00679779
5,4,1,1,2,1233,0,8,40.52370071,-80.01529694
5,7,1,1,1,1445,0,4,40.54449844,-80.03209686
5,8,1,4,1,1520,0,8,40.44400024,-79.99780273
5,1,1,4,3,1650,0,8,40.4681015,-80.08480072
4,8,1,1,1,1715,0,3,40.49860001,-80.0617981
5,1,1,4,2,1800,0,4,40.52500153,-79.83850098
1,1,1,4,2,405,0,4,40.43659973,-79.89630127
6,8,1,1,1,1030,0,8,40.44739914,-80.02089691
6,4,1,1,2,1155,0,4,40.43809891,-80.04940033
6,1,1,1,2,1617,0,8,40.32300186,-79.94300079
4,1,1,1,2,1655,0,4,40.33250046,-79.93379974
6,1,1,1,2,1600,0,8,40.44820023,-79.98690033
5,7,1,1,1,1500,0,4,40.35499954,-80.0460968
3,1,1,1,3,1651,0,3,40.45100021,-80.13829803
5,2,1,4,2,1725,0,4,40.46110153,-80.15149689
6,7,1,1,1,1735,0,4,40.44390106,-79.81980133
6,4,1,1,2,1646,0,4,40.48199844,-80.04689789
7,7,1,1,1,241,0,4,40.45000076,-79.90370178
6,4,1,1,2,1428,0,8,40.4341011,-79.75229645
7,7,1,4,1,900,0,4,40.42910004,-80.0401001
6,2,1,1,2,1438,0,3,40.4618988,-79.78230286
7,7,1,4,1,950,0,8,40.49509811,-80.31890106
7,5,1,4,3,920,0,8,40.48429871,-79.90779877
6,7,1,1,1,829,0,4,40.46170044,-80.19280243
5,1,1,1,2,1411,0,4,40.4939003,-79.90920258
4,1,1,1,2,750,0,4,40.43759918,-80.00350189
4,4,1,1,2,1528,0,4,40.34019852,-79.95410156
6,1,1,1,2,2230,0,8,40.48429871,-79.90779877
4,8,1,1,1,55,0,8,40.42850113,-79.9763031
7,7,1,4,1,553,0,4,40.40869904,-79.89520264
7,7,1,4,1,152,0,8,40.43790054,-79.77799988
7,7,1,4,1,2225,0,4,40.28010178,-79.99369812
7,7,1,4,1,1324,0,4,40.48870087,-80.0141983
1,7,1,4,1,629,0,1,40.35279846,-79.97799683
1,7,1,4,1,1135,0,4,40.40539932,-80.07150269
6,1,1,1,2,1115,0,8,40.30780029,-79.93609619
1,7,1,4,1,1124,0,8,40.43769836,-80.04260254
1,7,1,4,1,1333,0,8,40.44279861,-80.03079987
7,7,1,4,1,2108,0,3,40.3830986,-79.80290222
6,7,1,4,1,1450,0,8,40.54370117,-79.99430084
6,4,1,1,2,1721,0,3,40.3117981,-79.94020081
6,7,1,4,1,457,0,8,40.38130188,-79.96890259
1,7,1,4,1,630,0,8,40.38059998,-79.97470093
1,7,1,4,1,25,0,4,40.43989944,-80.02220154
4,7,1,1,1,1603,0,3,40.41419983,-79.729599
6,1,1,8,2,1422,0,8,40.42210007,-79.92780304
5,5,1,4,2,835,0,8,40.44290161,-80.02940369
2,7,1,4,1,820,0,8,40.4538002,-80.01599884
2,4,1,1,2,1220,0,4,40.45410156,-79.99680328
1,7,1,4,1,1556,0,3,40.37170029,-79.79000092
2,1,1,1,2,1630,0,8,40.44290161,-80.0318985
2,7,1,1,1,1823,1,2,40.3905983,-79.9598999
2,4,1,1,2,1740,0,8,40.44459915,-79.94300079
2,1,1,1,2,1950,0,8,40.46530151,-79.91970062
7,5,1,4,3,306,0,4,40.42630005,-79.97650146
2,7,1,1,1,23,0,3,40.65980148,-80.12359619
2,0,1,1,1,1056,0,8,40.29090118,-79.92070007
7,7,1,1,1,255,0,4,40.6257019,-79.94180298
1,6,1,4,2,1328,0,4,40.36109924,-79.90579987
5,1,1,1,2,1343,0,3,40.62879944,-80.0562973
6,7,1,4,1,1323,0,4,40.53290176,-80.0848999
2,1,1,1,3,1313,0,8,40.49499893,-80.06559753
7,1,1,1,2,1515,0,4,40.36869812,-79.78150177
3,4,1,1,2,657,0,8,40.54199982,-80.01300049
1,4,1,4,2,1016,0,8,40.37639999,-79.82969666
2,1,1,1,3,1545,0,4,40.37179947,-80.08260345
3,1,1,1,2,901,0,8,40.4557991,-79.9151001
3,5,1,1,2,1525,0,4,40.39989853,-79.83480072
2,2,1,1,2,2238,0,4,40.43799973,-79.9910965
6,2,1,1,2,2345,0,4,40.58670044,-80.00050354
1,4,1,4,2,652,0,8,40.57210159,-80.02349854
1,4,1,1,2,1853,0,4,40.29990005,-80.0719986
3,7,1,8,1,1910,0,4,40.33990097,-80.02110291
